palavra,classe_gramatical,assunto,CM,letra
DETALHE,SUBSTANTIVO,NENHUM,cg14,D
DETER,VERBO,NENHUM,cg64,D
DETERGENTE,SUBSTANTIVO,HIGIENE/SAÚDE,cg02,D
DETESTAR1,VERBO,NENHUM,cg34,D
DETESTAR2,VERBO,NENHUM,cg63,D
DETETIVE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg49,D
DETONAR,VERBO,NENHUM,cg02,D
DETRAS,ADV.,NENHUM,cg07,D
DEUS,SUBSTANTIVO,NENHUM,cg12,D
DEVAGAR,ADV.,NENHUM,cg64,D
DEVER1,VERBO,NENHUM,cg05,D
DEVER2,VERBO,NENHUM,cg05,D
DEVER3,VERBO,NENHUM,cg15,D
DEVIDO A,LOC.ADV.,NENHUM,cg24,D
DEVOLVER1,VERBO,NENHUM,cg57,D
DEVOLVER2,VERBO,NENHUM,cg15,D
DEVORAR,VERBO,NENHUM,cg53a,D
DEZ,NUM.,NUMERAL/DINHEIRO,cg07,D
DEZEMBRO,SUBSTANTIVO,ANO SIDERAL,cg47,D
DEZESSEIS,NUM.,NUMERAL/DINHEIRO,cg07,D
DEZESSETE,NUM.,NENHUM,cg07,D
DIA 1,SUBSTANTIVO,ANO SIDERAL,cg34,D
DIA 2,SUBSTANTIVO,ANO SIDERAL,cg02,D
DIA 3,SUBSTANTIVO,ANO SIDERAL,cg12,D
DIA 4,SUBSTANTIVO,ANO SIDERAL,cg62,D
DIA DA SEMANA,SUBSTANTIVO,ANO SIDERAL,cg32,D
DIA-1,NUM.,NUMERAL/DINHEIRO,cg32,D
DIABETE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14,D
DIABO,SUBSTANTIVO,NENHUM,cg18a,D
DIAGNOSTICAR,VERBO,NENHUM,cg14,D
DIALOGAR,VERBO,NENHUM,cg14,D
DIALOGO,SUBSTANTIVO,NENHUM,cg14,D
DIAMANTE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,D
DIANTE,PREP.,NENHUM,cg62,D
DIARIA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20,D
DIARIAMENTE1,ADV.,ANO SIDERAL,cg14,D
DIARIAMENTE2,ADV.,ANO SIDERAL,cg35a,D
DIARREIA,SUBSTANTIVO,HIGIENE/SAÚDE,cg07,D
DICIONARIO,SUBSTANTIVO,NENHUM,cg12,D
DIDATICA,SUBSTANTIVO,NENHUM,cg12,D
DIETA,SUBSTANTIVO,HIGIENE/SAÚDE,cg40,D
DIFAMAR,VERBO,NENHUM,cg05,D
DIFERENCA,SUBSTANTIVO,NENHUM,cg14,D
DIFERENTE1,ADJETIVO,NENHUM,cg08a,D
DIFICIL,ADJETIVO,NENHUM,cg15,D
DIFICULDADE,SUBSTANTIVO,NENHUM,cg15,D
DIGITADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg47,D
DIGITAR,VERBO,NENHUM,cg47,D
DILUVIO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,D
DIMINUIR1,VERBO,NENHUM,cg18a,D
DIMINUIR2,VERBO,NENHUM,cg18a,D
DIMINUIR3,VERBO,NENHUM,cg52,D
DINAMARCA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg28,D
DINAMARQUES,ADJETIVO,NENHUM,cg28,D
DINHEIRO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg20,D
DINOSSAURO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg42,D
DIPLOMA,SUBSTANTIVO,NENHUM,cg02,D
DIREITO1,ADJETIVO,NENHUM,cg12,D
DIREITO2,ADJETIVO,NENHUM,cg63,D
DIREITO3,SUBSTANTIVO,NENHUM,cg12,D
DIREITO4,ADJETIVO,NENHUM,cg49,D
DIRETO,ADJETIVO,NENHUM,cg61,D
DIRETOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg12,D
DIRETORIA1,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg12,D
DIRETORIA2,SUBSTANTIVO,NENHUM,cg07,D
DIRIGIR,VERBO,NENHUM,cg02,D
DISCIPLINA1,SUBSTANTIVO,NENHUM,cg47,D
DISCIPLINA2,SUBSTANTIVO,NENHUM,cg08a,D
DISCO,SUBSTANTIVO,NENHUM,cg15,D
DISCORDAR,VERBO,NENHUM,cg14,D
DISCOTECA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05,D
DISCRETO,ADJETIVO,NENHUM,cg49,D
DISCRIMINACAO,SUBSTANTIVO,NENHUM,cg64,D
DISCURSO,SUBSTANTIVO,NENHUM,cg64,D
DISCUTIR,VERBO,NENHUM,cg14,D
DISFARCAR,VERBO,NENHUM,cg27,D
DISPARAR,VERBO,NENHUM,cg15,D
DISPENSAR,VERBO,NENHUM,cg33,D
DISPERSAR,VERBO,NENHUM,cg02,D
DISPONIVEL,ADJETIVO,NENHUM,cg33,D
DISPOSITIVO INTRA-UTERINO DIU,SUBSTANTIVO,HIGIENE/SAÚDE,cg20,D
DISPUTAR,VERBO,NENHUM,cg14,D
DISQUETE,SUBSTANTIVO,APARELHO/MÁQUINA,cg18a,D
DISSOLVER,VERBO,NENHUM,cg07,D
DISTANCIA,SUBSTANTIVO,NENHUM,cg49,D
DISTENDER,VERBO,NENHUM,cg02,D
DISTENSAO,SUBSTANTIVO,NENHUM,cg02,D
DISTRAIR,VERBO,NENHUM,cg58,D
DISTRIBUIR,VERBO,NENHUM,cg42,D
DISTRITO FEDERAL,LOC. SUBST.,PAÍS/ESTADO/CIDADE,cg12,D
DITADURA,SUBSTANTIVO,NENHUM,cg01,D
DIVERSO,ADJETIVO,NENHUM,cg27,D
DIVERTIDO,ADJETIVO,ESPORTE/DIVERSÃO,cg28,D
DIVIDA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg15,D
DIVIDIR1,VERBO,NENHUM,cg63,D
DIVIDIR2,VERBO,NENHUM,cg14,D
DIVIDIR3,VERBO,NENHUM,cg63,D
DIVISAO,VERBO,NENHUM,cg14,D
DIVORCIO,SUBSTANTIVO,FAMÍLIA,cg20,D
DIVULGAR,VERBO,NENHUM,cg40,D
DIZER1,VERBO,NENHUM,cg11,D
DIZER2,VERBO,NENHUM,cg53a,D
DIZIMO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg12,D
DO QUE,PRONOME,NENHUM,cg07,D
DOACAO,SUBSTANTIVO,NENHUM,cg47,D
DOAR1,VERBO,NENHUM,cg44,D
DOAR2,VERBO,NENHUM,cg04,D
DOBRAR,VERBO,NENHUM,cg63,D
DOBRO,SUBSTANTIVO,NENHUM,cg32,D
DOCE,ADJETIVO,NENHUM,cg63,D
DOCUMENTO,SUBSTANTIVO,NENHUM,cg37a,D
DOENCA,SUBSTANTIVO,HIGIENE/SAÚDE,cg63,D
DOENTE1,ADJETIVO,HIGIENE/SAÚDE,cg63,D
DOENTE2,ADJETIVO,NENHUM,cg63,D
DOER,VERBO,NENHUM,cg54,D
DOIDO,ADJETIVO,NENHUM,cg14,D
DOIS1,NUM.,NUMERAL/DINHEIRO,cg08a,D
DOIS2,NUM.,NUMERAL/DINHEIRO,cg32,D
DOIS2,NUM.,NUMERAL/DINHEIRO,cg32,D
DOLAR,SUBSTANTIVO,NUMERAL/DINHEIRO,cg12,D
DOMICILIO,SUBSTANTIVO,NENHUM,cg63,D
DOMINAR,VERBO,NENHUM,cg14,D
DOMINGO,SUBSTANTIVO,ANO SIDERAL,cg12,D
DOMINO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg24,D
DONO,SUBSTANTIVO,NENHUM,cg25,D
DOR,SUBSTANTIVO,SENTIMENTOS,cg54,D
DOR DE CABECA,LOC. SUBST.,NENHUM,cg15,D
DORMIR,VERBO,NENHUM,cg62,D
DOURADO,ADJETIVO,COR/FORMA,cg42,D
DOUTOR,SUBSTANTIVO,NENHUM,cg12,D
DOZE,NUM.,NUMERAL/DINHEIRO,cg07,D
DRAGAO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg42,D
DRAMATIZACAO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg35a,D
DRIBLAR,VERBO,NENHUM,cg63,D
DRIBLE,SUBSTANTIVO,NENHUM,cg63,D
DROGA1,INTERJ.,NENHUM,cg28,D
DROGA2,SUBSTANTIVO,HIGIENE/SAÚDE,cg05,D
DUCHA,SUBSTANTIVO,HIGIENE/SAÚDE,cg64,D
DUELO,SUBSTANTIVO,NENHUM,cg14,D
DUENDE,SUBSTANTIVO,NENHUM,cg18a,D
DUNA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg44,D
DUPLA,NUM.,NENHUM,cg32,D
DURACAO,SUBSTANTIVO,NENHUM,cg14,D
DURAR,VERBO,NENHUM,cg13,D
DUREX,SUBSTANTIVO,NENHUM,cg07,D
DURO,ADJETIVO,NENHUM,cg16,D
DUVIDA,SUBSTANTIVO,SENTIMENTOS,cg14,D
DUVIDAR,VERBO,NENHUM,cg14,D
DUZENTOS,NUM.,NUMERAL/DINHEIRO,cg19,D
DUZIA,NUM.,NUMERAL/DINHEIRO,cg07,D
DVD,SUBSTANTIVO,APARELHO/MÁQUINA,cg12,D
E,SUBSTANTIVO,NENHUM,cg06,E
EBULICAO,SUBSTANTIVO,NENHUM,cg47,E
ECLIPSE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg49,E
ECONOMIA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg05,E
ECONOMIZAR,VERBO,NENHUM,cg03,E
EDIFICAR,VERBO,NENHUM,cg02,E
EDIFICIO,SUBSTANTIVO,NENHUM,cg63,E
EDITAR,VERBO,NENHUM,cg02,E
EDUCACAO FISICA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,E
EDUCACAO1,SUBSTANTIVO,NENHUM,cg08a,E
EDUCACAO2,SUBSTANTIVO,NENHUM,cg57,E
EDUCADO,ADJETIVO,NENHUM,cg08a,E
EDUCAR,VERBO,NENHUM,cg42,E
EFERVESCENTE,ADJETIVO,MATÉRIA/SUBSTÂNCIA,cg44,E
EFETIVO,ADJETIVO,NENHUM,cg64,E
EGITO,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg31,E
EGOISTA,ADJETIVO,NENHUM,cg11,E
EJACULACAO,SUBSTANTIVO,CORPO,cg14,E
EJACULAR,VERBO,NENHUM,cg14,E
ELASTICO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg31,E
ELE,PRONOME,NENHUM,cg14,E
ELE MESMO,PRONOME,NENHUM,cg14,E
ELEFANTE,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg61,E
ELEGANTE,ADJETIVO,NENHUM,cg49,E
ELEGER,VERBO,NENHUM,cg20,E
ELEICAO,SUBSTANTIVO,NENHUM,cg52,E
ELETRICIDADE,SUBSTANTIVO,NENHUM,cg39,E
ELETRICISTA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg39,E
ELETRICO,ADJETIVO,NENHUM,cg39,E
ELETRODOMESTICOS,SUBSTANTIVO,APARELHO/MÁQUINA,cg27,E
ELEVADOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg52,E
ELIMINAR,VERBO,NENHUM,cg02,E
EM CIMA,PREP.,NENHUM,cg39,E
EM PE,PREP.,NENHUM,cg32,E
EM VOLTA,PREP.,NENHUM,cg14,E
EMA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg01,E
EMAGRECER,VERBO,CORPO,cg38,E
EMAGRECIMENTO,SUBSTANTIVO,CORPO,cg38,E
EMBACAR,VERBO,NENHUM,cg64,E
EMBAIXADA1,SUBSTANTIVO,NENHUM,cg02,E
EMBAIXADA2,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,E
EMBAIXO1,ADV.,NENHUM,cg62,E
EMBAIXO2,ADV.,NENHUM,cg14,E
EMBALAR,VERBO,NENHUM,cg53a,E
EMBARCACAO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg63,E
EMBLEMA,SUBSTANTIVO,NENHUM,cg47,E
EMBORA,ADV.,NENHUM,cg13,E
EMBRIAGADO,ADJETIVO,NENHUM,cg24,E
EMBRIAGAR,VERBO,NENHUM,cg07,E
EMBRULHAR,VERBO,NENHUM,cg62,E
EMERGIR,VERBO,NENHUM,cg08a,E
EMOCAO,SUBSTANTIVO,SENTIMENTOS,cg02,E
EMOCIONAR,VERBO,NENHUM,cg42,E
EMOLDURAR,VERBO,NENHUM,cg21,E
EMPADA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg42,E
EMPATAR,VERBO,ESPORTE/DIVERSÃO,cg61,E
EMPENHAR,VERBO,NENHUM,cg08a,E
EMPREGADA DOMESTICA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg63,E
EMPREGADO,ADJETIVO,NENHUM,cg63,E
EMPREGAR,VERBO,NENHUM,cg08a,E
EMPREGO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a,E
EMPRESARIO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05,E
EMPRESTAR,VERBO,NENHUM,cg47,E
EMPRESTIMO,SUBSTANTIVO,NUMERAL/DINHEIRO,cg47,E
EMPURRAR,VERBO,NENHUM,cg63,E
ENCABULAR,VERBO,NENHUM,cg31,E
ENCADERNACAO,SUBSTANTIVO,NENHUM,cg63,E
ENCADERNAR,VERBO,NENHUM,cg63,E
ENCARAR,VERBO,NENHUM,cg32,E
ENCARCERAR,VERBO,NENHUM,cg32,E
ENCARDIDO,ADJETIVO,NENHUM,cg02,E
ENCERADEIRA,SUBSTANTIVO,APARELHO/MÁQUINA,cg02,E
ENCERRAR1,VERBO,NENHUM,cg63,E
ENCERRAR2,VERBO,NENHUM,cg61,E
ENCHENTE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,E
ENCHER1,VERBO,NENHUM,cg53a,E
ENCHER2,VERBO,NENHUM,cg02,E
ENCHER3,VERBO,NENHUM,cg02,E
ENCHER4,VERBO,NENHUM,cg64,E
ENCOBERTO,ADJETIVO,PLANTA/FLOR/NATUREZA,cg64,E
ENCOBRIR,VERBO,NENHUM,cg02,E
ENCOLHER,VERBO,NENHUM,cg63,E
ENCONTRAR,VERBO,NENHUM,cg14,E
ENCORAJAMENTO,SUBSTANTIVO,NENHUM,cg57,E
ENCORAJAR,VERBO,NENHUM,cg57,E
ENCRENCA,SUBSTANTIVO,NENHUM,cg64,E
ENCRESPAR,VERBO,NENHUM,cg47,E
ENDERECO,SUBSTANTIVO,NENHUM,cg53a,E
ENFEITAR,VERBO,NENHUM,cg47,E
ENFERMEIRO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg14,E
ENFERMIDADE,SUBSTANTIVO,HIGIENE/SAÚDE,cg35a,E
ENFERRUJAR,VERBO,NENHUM,cg02,E
ENFORCADO,ADJETIVO,NENHUM,cg51a,E
ENFORCAR,VERBO,NENHUM,cg51a,E
ENFRAQUECER,VERBO,NENHUM,cg44,E
ENFRENTAR,VERBO,NENHUM,cg14,E
ENGANAR1,VERBO,NENHUM,cg02,E
ENGANAR2,VERBO,NENHUM,cg25,E
ENGARRAFAR,VERBO,NENHUM,cg64,E
ENGASGAR,VERBO,NENHUM,cg64,E
ENGATINHAR,VERBO,NENHUM,cg64,E
ENGENHARIA,SUBSTANTIVO,NENHUM,cg51a,E
ENGENHEIRO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg51a,E
ENGOLIR,VERBO,NENHUM,cg52,E
ENGORDAR,VERBO,NENHUM,cg02,E
ENGRACADO,ADJETIVO,NENHUM,cg19,E
ENGRAVATAR-SE,VERBO,NENHUM,cg18a,E
ENGRAXAR,VERBO,NENHUM,cg01,E
ENJOADO,ADJETIVO,NENHUM,cg64,E
ENJOO,SUBSTANTIVO,HIGIENE/SAÚDE,cg64,E
ENLOUQUECER,VERBO,NENHUM,cg14,E
ENORME,ADJETIVO,NENHUM,cg02,E
ENROLAR1,VERBO,NENHUM,cg14,E
ENROLAR2,VERBO,NENHUM,cg62,E
ENROSCAR,VERBO,NENHUM,cg47,E
ENSAIAR,VERBO,NENHUM,cg63,E
ENSANGUENTADO,ADJETIVO,CORPO,cg02,E
ENSINAR,VERBO,NENHUM,cg57,E
ENSOLARADO,ADJETIVO,PLANTA/FLOR/NATUREZA,cg02,E
ENSURDECER,VERBO,NENHUM,cg20,E
ENSURDECIDO,ADJETIVO,CORPO,cg20,E
ENTENDER,VERBO,NENHUM,cg63,E
ENTERRAR,VERBO,NENHUM,cg62,E
ENTERRO,SUBSTANTIVO,NENHUM,cg62,E
ENTORNAR,VERBO,NENHUM,cg01,E
ENTRADA,SUBSTANTIVO,NENHUM,cg63,E
ENTRAR1,VERBO,NENHUM,cg63,E
ENTRAR2,VERBO,NENHUM,cg14,E
ENTRAR3,ADJETIVO,ALIMENTO/BEBIDA,cg61,E
ENTREGAR,VERBO,NENHUM,cg64,E
ENTREVISTAR,VERBO,NENHUM,cg02,E
ENTRISTECER,VERBO,NENHUM,cg39,E
ENVELHECER,VERBO,NENHUM,cg02,E
ENVELOPE,SUBSTANTIVO,NENHUM,cg08a,E
ENVENENAR,VERBO,NENHUM,cg30,E
ENVERGONHAR,VERBO,NENHUM,cg31,E
ENVIAR1,VERBO,NENHUM,cg24,E
ENVIAR2,VERBO,NENHUM,cg42,E
ENVIAR3,VERBO,NENHUM,cg63,E
ENVIUVAR,VERBO,NENHUM,cg32,E
ENVOLVER,VERBO,NENHUM,cg45,E
ENXADA,SUBSTANTIVO,APARELHO/MÁQUINA,cg15,E
ENXAQUECA,SUBSTANTIVO,HIGIENE/SAÚDE,cg47,E
ENXERGAR,VERBO,NENHUM,cg32,E
ENXUGAR LAGRIMA,VERBO,NENHUM,cg63,E
ENXUGAR LOUCA,VERBO,NENHUM,cg64,E
EPIDEMIA,SUBSTANTIVO,HIGIENE/SAÚDE,cg01,E
EPISCOPAL,ADJETIVO,NENHUM,cg06,E
EQUATORIANO,ADJETIVO,NENHUM,cg06,E
EQUILIBRAR,VERBO,NENHUM,cg24,E
EQUIPE,SUBSTANTIVO,NENHUM,cg47,E
EQUITACAO,SUBSTANTIVO,NENHUM,cg28,E
ERECAO,SUBSTANTIVO,CORPO,cg14,E
ERGUER1,VERBO,NENHUM,cg63,E
ERGUER2,VERBO,NENHUM,cg64,E
ERGUER3,VERBO,NENHUM,cg63,E
ERRADO,ADJETIVO,NENHUM,cg11,E
ERRAR,VERBO,NENHUM,cg11,E
ERVILHA,SUBSTANTIVO,LEGUME/VERDURA,cg15,E
ESBARRAR,VERBO,NENHUM,cg14,E
ESBOFETEAR,VERBO,NENHUM,cg62,E
ESCADA,SUBSTANTIVO,CASA,cg29a,E
ESCADA DE CARACOL,SUBSTANTIVO,CASA,cg28,E
ESCADA ROLANTE,SUBSTANTIVO,APARELHO/MÁQUINA,cg24,E
ESCALAR1,VERBO,NENHUM,cg31,E
ESCALAR2,VERBO,NENHUM,cg20,E
ESCAPAR1,VERBO,NENHUM,cg07,E
ESCAPAR2,VERBO,NENHUM,cg57,E
ESCLARECER,VERBO,NENHUM,cg02,E
ESCOCES,ADJETIVO,NENHUM,cg64,E
ESCOCIA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg64,E
ESCOLA,SUBSTANTIVO,NENHUM,cg63,E
ESCOLHER,VERBO,NENHUM,cg08b,E
ESCONDE-ESCONDE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,E
ESCONDER,VERBO,NENHUM,cg02,E
ESCONDIDO,ADJETIVO,NENHUM,cg53b,E
ESCOPETA,SUBSTANTIVO,NENHUM,cg18a,E
ESCORPIAO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg15,E
ESCORREGADOR,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg24,E
ESCORREGAR,VERBO,NENHUM,cg32,E
ESCORRER1,VERBO,NENHUM,cg08a,E
ESCORRER2,VERBO,NENHUM,cg64,E
ESCOTEIRO,SUBSTANTIVO,NENHUM,cg60,E
ESCOVA1,SUBSTANTIVO,HIGIENE/SAÚDE,cg05,E
ESCOVA2,ADJETIVO,HIGIENE/SAÚDE,cg05,E
ESCOVAR1,VERBO,NENHUM,cg05,E
ESCOVAR2,VERBO,NENHUM,cg05,E
ESCRAVIZAR1,VERBO,NENHUM,cg02,E
ESCRAVIZAR2,VERBO,NENHUM,cg02,E
ESCRAVO,ADJETIVO,NENHUM,cg02,E
ESCREVER NO QUADRO,VERBO,NENHUM,cg20,E
ESCREVER1,VERBO,NENHUM,cg04,E
ESCREVER2,VERBO,NENHUM,cg04,E
ESCRITOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg20,E
ESCRITORIO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg52,E
ESCUDO,SUBSTANTIVO,NENHUM,cg02,E
ESCULPIR1,VERBO,NENHUM,cg05,E
ESCULPIR2,VERBO,NENHUM,cg07,E
ESCULTURA,SUBSTANTIVO,NENHUM,cg07,E
ESCURECER,VERBO,NENHUM,cg02,E
ESCURO,ADJETIVO,NENHUM,cg02,E
ESCUTAR,VERBO,NENHUM,cg02,E
ESFAQUEAR,VERBO,NENHUM,cg02,E
ESFERA,SUBSTANTIVO,COR/FORMA,cg47,E
ESFOLAR,VERBO,NENHUM,cg64,E
ESFORCAR,VERBO,NENHUM,cg02,E
ESFREGAR,VERBO,NENHUM,cg01,E
ESFRIAR,VERBO,NENHUM,cg16,E
ESGRIMA,SUBSTANTIVO,NENHUM,cg05,E
ESMAGAR,VERBO,NENHUM,cg47,E
ESMALTE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14,E
ESMURRAR,VERBO,NENHUM,cg02,E
ESNOBE,ADJETIVO,NENHUM,cg14,E
ESPADA,SUBSTANTIVO,NENHUM,cg05,E
ESPAGUETE,SUBSTANTIVO,ALIMENTO/BEBIDA,cg26,E
ESPALHAR,VERBO,NENHUM,cg64,E
ESPANCAR,VERBO,NENHUM,cg23,E
ESPANHA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg14,E
ESPANHOL,ADJETIVO,NENHUM,cg14,E
ESPARRAMAR,VERBO,NENHUM,cg01,E
ESPATULA,SUBSTANTIVO,NENHUM,cg24,E
ESPECIAL,ADJETIVO,NENHUM,cg33,E
ESPELHO,SUBSTANTIVO,CASA,cg63,E
ESPERANCA,SUBSTANTIVO,SENTIMENTOS,cg01,E
ESPERAR1,VERBO,NENHUM,cg14,E
ESPERAR2,VERBO,NENHUM,cg01,E
ESPERMA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg14,E
ESPERTO,ADJETIVO,NENHUM,cg28,E
ESPETINHO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg14,E
ESPIAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg61,E
ESPIAR1,VERBO,NENHUM,cg61,E
ESPIAR2,VERBO,NENHUM,cg50,E
ESPINGARDA,SUBSTANTIVO,NENHUM,cg18a,E
ESPINHA,SUBSTANTIVO,HIGIENE/SAÚDE,cg14,E
ESPINHA DORSAL,SUBSTANTIVO,CORPO,cg18a,E
ESPINHO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg14,E
ESPIONAR,VERBO,NENHUM,cg61,E
ESPIRAL,SUBSTANTIVO,NENHUM,cg14,E
ESPIRITA,ADJETIVO,NENHUM,cg57,E
ESPIRITISMO,SUBSTANTIVO,NENHUM,cg57,E
ESPIRITO,SUBSTANTIVO,NENHUM,cg57,E
ESPIRITO SANTO,SUBSTANTIVO,NENHUM,cg55,E
ESPIRITO SANTO(ES),SUBSTANTIVO,NENHUM,cg32,E
ESPIRRAR,VERBO,NENHUM,cg47,E
ESPONJA,SUBSTANTIVO,CASA,cg01,E
ESPORTE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg07,E
ESPOSA,SUBSTANTIVO,FAMÍLIA,cg53a,E
ESPREGUICADEIRA,SUBSTANTIVO,CASA,cg24,E
ESPREMER,VERBO,NENHUM,cg47,E
ESPUMA,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg47,E
ESPUMAR,VERBO,NENHUM,cg47,E
ESQUECER,VERBO,NENHUM,cg44,E
ESQUELETO,SUBSTANTIVO,CORPO,cg47,E
ESQUENTAR,VERBO,NENHUM,cg47,E
ESQUERDA,SUBSTANTIVO,NENHUM,cg63,E
ESQUIAR,VERBO,NENHUM,cg02,E
ESQUILO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg18a,E
ESQUIMO,ADJETIVO,NENHUM,cg47,E
ESQUINA,SUBSTANTIVO,NENHUM,cg53a,E
ESQUISITO,ADJETIVO,NENHUM,cg35a,E
ESSE,PRONOME,NENHUM,cg14,E
ESTABELECIMENTO,SUBSTANTIVO,NENHUM,cg18b,E
ESTACA,SUBSTANTIVO,NENHUM,cg61,E
ESTACIONAMENTO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg31,E
ESTADO,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg47,E
ESTADOS UNIDOS,SUBSTANTIVO,NENHUM,cg14,E
ESTADUAL,ADJETIVO,NENHUM,cg06,E
ESTAGIO,SUBSTANTIVO,NENHUM,cg63,E
ESTAMPAR,VERBO,NENHUM,cg01,E
ESTANTE,SUBSTANTIVO,NENHUM,cg53a,E
ESTAR,VERBO,NENHUM,cg07,E
ESTATUA,SUBSTANTIVO,NENHUM,cg07,E
ESTATUTO,SUBSTANTIVO,NENHUM,cg06,E
ESTE,PRONOME,NENHUM,cg14,E
ESTENDER1,VERBO,NENHUM,cg49,E
ESTENDER2,VERBO,NENHUM,cg01,E
ESTENDER3,VERBO,NENHUM,cg18a,E
ESTENDER4,VERBO,NENHUM,cg49,E
ESTETOSCOPIO,SUBSTANTIVO,APARELHO/MÁQUINA,cg15,E
ESTICAR1,VERBO,NENHUM,cg49,E
ESTICAR2,VERBO,NENHUM,cg63,E
ESTILETE,SUBSTANTIVO,NENHUM,cg14,E
ESTILHACAR,VERBO,NENHUM,cg64,E
ESTOJO,SUBSTANTIVO,NENHUM,cg05,E
ESTOMAGO,SUBSTANTIVO,CORPO,cg14,E
ESTORIA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg32,E
ESTOURAR,VERBO,NENHUM,cg02,E
ESTRADA,SUBSTANTIVO,NENHUM,cg14,E
ESTRAGADO,ADJETIVO,NENHUM,cg15,E
ESTRAGAR1,VERBO,NENHUM,cg05,E
ESTRAGAR2,VERBO,NENHUM,cg15,E
ESTRANGEIRO,ADJETIVO,NENHUM,cg27,E
ESTRANGULAR,VERBO,NENHUM,cg02,E
ESTRANHAR,VERBO,NENHUM,cg35a,E
ESTRANHO,VERBO,NENHUM,cg35a,E
ESTRATEGIA,SUBSTANTIVO,NENHUM,cg40,E
ESTREITO,ADJETIVO,NENHUM,cg63,E
ESTRELA,SUBSTANTIVO,COR/FORMA,cg08b,E
ESTRELA-DO-MAR,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg64,E
ESTRELADO,ADJETIVO,NENHUM,cg08b,E
ESTREMECER1,VERBO,NENHUM,cg64,E
ESTREMECER2,VERBO,NENHUM,cg64,E
ESTUDAR,VERBO,NENHUM,cg63,E
ESTUDOS SOCIAIS,SUBSTANTIVO,NENHUM,cg11,E
ESTUPIDO,ADJETIVO,NENHUM,cg42,E
ESTUPRAR,VERBO,NENHUM,cg16,E
ESTUPRO,SUBSTANTIVO,NENHUM,cg16,E
ESVAZIAR1,VERBO,NENHUM,cg08a,E
ESVAZIAR2,VERBO,NENHUM,cg20,E
ETERNO,ADJETIVO,NENHUM,cg13,E
ETIQUETA,SUBSTANTIVO,NENHUM,cg02,E
ETIQUETAR,VERBO,NENHUM,cg07,E
